Title,Author,Status,Format,Genres,Mood,Year,Rating
Children of Blood and Bone,Tomi Adeyemi,Owned,Audiobook,Fantasy; Mythology,Adventurous,2017,
Beautiful Ruins,Jess Walter,Owned,Audiobook,Romance; Classic Literature,,2012,
A Rage in Harlem,Chester Himes,Owned,Audiobook,Mystery & Thriller; Classic Literature,,1957,
Nelson Mandela's Favorite African Folktales,Various,Owned,Audiobook,Fantasy; Mythology,,2007,
Legends & Lattes,Travis Baldree,Owned,Audiobook,Fantasy,Cozy,2024,
The Hobbit,J. R. R. Tolkien,Owned,Audiobook,Fantasy,Adventurous; Cozy,1937,
The Anne of Green Gables Collection,L. M. Montgomery,Owned,Audiobook,Classic Literature,Cozy,1908,
Pride and Prejudice,Jane Austen,Owned,Audiobook,Romance; Classic Literature,Cozy,1813,
Sense and Sensibility,Jane Austen,Owned,Audiobook,Romance; Classic Literature,,1811,
Peter Pan,J. M. Barrie,Owned,Audiobook,Fantasy; Classic Literature,Adventurous; Cozy,1911,
Jeeves Collection,P. G. Wodehouse,Owned,Audiobook,Comedy,Cozy,1931,
Sherlock Holmes,Arthur Conan Doyle,Owned,Audiobook,Mystery & Thriller; Classic Literature,Adventurous,1892,
The Song of Achilles,Madeline Miller,Owned,Audiobook,Mythology,Bittersweet,2011,
Rebecca,Daphne du Maurier,Owned,Audiobook,Mystery & Thriller; Gothic,Dark & Moody; Suspenseful,1938,
Silas Marner,George Eliot,Owned,Audiobook,Classic Literature,Bittersweet,1800,
Animal Farm,George Orwell,Owned,Audiobook,Classic Literature,,1945,
1984,George Orwell,Owned,Audiobook,Sci-Fi; Classic Literature,,1949,
Dracula,Bram Stoker,Owned,Audiobook,Gothic; Horror,Dark & Moody,1897,
Sapiens,Yuval Noah Harari,Owned,Audiobook,Nonfiction,,2011,
Cosmos,Carl Sagan; Ann Druyan,Owned,Audiobook,Nonfiction,Cozy,1980,
Outgrowing God,Richard Dawkins,Owned,Audiobook,Philosophy,,2019,
Astrophysics for People in a Hurry,Neil deGrasse Tyson,Owned,Audiobook,Nonfiction,,2017,
Meditations,Marcus Aurelius,Owned,Audiobook,Philosophy,,2006,
The Dutch House,Ann Patchett,Owned,Audiobook,Classic Literature; Fiction,,2019,
Far from the Madding Crowd,Thomas Hardy,Owned,Audiobook,Romance; Classic Literature,,1874,
The Road,Cormac McCarthy,Owned,Audiobook,Sci-Fi; Classic Literature,Dark & Moody,2006,
Project Hail Mary,Andy Weir,Owned,Audiobook,Sci-Fi,Adventurous; Fast-paced,2021,
Paddington,Michael Bond,Owned,Audiobook,Children's; Classic Literature,Cozy,1960,
The Master and Margarita,Mikhail Bulgakov,Owned,Physical,Fantasy; Comedy,Thought-provoking,1966,
North and South,Elizabeth Gaskell,Owned,Physical,Romance; Historical Fiction,,1855,
Emma,Jane Austen,Owned,Audiobook,Romance; Classic Literature,Cozy,1815,
Alice's Adventures in Wonderland,Lewis Carroll,Owned,Audiobook,Fiction,Cozy,1865,
Anne of Green Gables,L. M. Montgomery,Owned,Audiobook,Fiction,Cozy,1908,
Carmilla,Sheridan Le Fanu,Owned,Audiobook,Gothic,Dark & Moody,1871,
Circe,Madeline Miller,Owned,Audiobook,Mythology,,2018,
Cosmicomics,Italo Calvino,Owned,Audiobook,Fiction,Cozy,1965,
Cranford,Elizabeth Gaskell,Owned,Audiobook,Fiction,Cozy,1853,
Frankenstein,Mary Shelley,Owned,Audiobook,Gothic,Dark & Moody,1818,
Heroes,Stephen Fry,Owned,Audiobook,Mythology,,2018,
Highland Fling,Nancy Mitford,Owned,Audiobook,Comedy,,1931,
The Hitchhiker's Guide to the Galaxy,Douglas Adams,Owned,Audiobook,Comedy,,1979,
If on a Winter's Night a Traveler,Italo Calvino,Owned,Audiobook,Fiction,Cozy,1979,
Invisible Cities,Italo Calvino,Owned,Audiobook,Fiction,Cozy,1972,
Jane Eyre,Charlotte Bronte,Owned,Audiobook,Gothic,Dark & Moody,1847,
The Strange Case of Dr Jekyll and Mr Hyde,Robert Louis Stevenson,Owned,Audiobook,Gothic,Dark & Moody,1875,
Joy in the Morning,P. G. Wodehouse,Owned,Audiobook,Comedy,,1946,
Just William,Richmal Crompton,Owned,Audiobook,Comedy,,1922,
Lonesome Dove,Larry McMurtry,Owned,Audiobook,Fiction,Adventurous,1985,
Mythos,Stephen Fry,Owned,Audiobook,Mythology,,2017,
The Age of Innocence,Edith Wharton,Owned,Audiobook,Fiction,,1920,
The Baron in the Trees,Italo Calvino,Owned,Audiobook,Fiction,Cozy,1957,
The Time Machine,H. G. Wells,Owned,Audiobook,Fiction,Adventurous,1895,
The Wonderful Wizard of Oz,L. Frank Baum,Owned,Audiobook,Fiction,Adventurous,1899,
Three Men in a Boat,Jerome K. Jerome,Owned,Audiobook,Comedy,,1889,
Through the Looking-Glass,Lewis Carroll,Owned,Audiobook,Fiction,Cozy,1865,
Tin Man,Sarah Winman,Owned,Audiobook,Fiction,,2018,
Tom Lake,Ann Patchett,Owned,Audiobook,Fiction,,2023,
Troy,Stephen Fry,Owned,Audiobook,Mythology,,2020,
Winter Holiday,Arthur Ransome,Owned,Audiobook,Fiction,Adventurous,1933,
Anna Karenina,Leo Tolstoy,Wishlist,Physical,Fiction,,1876,
Crime and Punishment,Fyodor Dostoevsky,Wishlist,Physical,Fiction,,1866,
In Search of Lost Time,Marcel Proust,Wishlist,Physical,Fiction,,1919,
The Magic Mountain,Thomas Mann,Wishlist,Physical,Fiction,,1924,
The Romanovs: 1613-1918,Simon Sebag Montefiore,Wishlist,Physical,Fiction,,2016,
Ulysses,James Joyce,Wishlist,Physical,Fiction,,1914,
White Nights,Fyodor Dostoevsky,Wishlist,Physical,Fiction,,1848,
